"1
2",Argentina,"Argentina
Iceland
FT
30",1.15,1877.27
2,Spain,"Spain
Peru
FT
31",1.7,1874.71
"3
2",France,"France
Northern Ireland
FT
31",1.27,1870.7
4,England,"England
Costa Rica
FT
30",0.97,1828.02
5,Portugal,"Portugal
Nigeria
FT
21",1.67,1767.85
6,Brazil,"Brazil
Morocco
FT
11",,1765.86*
"7
1",Morocco,"Brazil
Morocco
FT
11",,1755.10*
"8
1",Netherlands,"Netherlands
Uzbekistan
FT
21",2.47,1753.57
9,Belgium,"Belgium
Tunisia
FT
50",2.69,1742.24
10,Germany,"USA
Germany
FT
12",4.47,1735.77
11,Croatia,"Croatia
Slovenia
FT
21",2.63,1714.87
12,Italy,"Greece
Italy
FT
01",2.96,1704.73
13,Colombia,"Colombia
Jordan
FT
20",2.36,1698.35
"14
1",Mexico,"Mexico
South Africa
FT
20",,1687.48*
"15
1",Senegal,"Senegal
Saudi Arabia
FT
00",-2.34,1684.07
"16
1",Uruguay,"Algeria
Uruguay
FT
00",-1.05,1673.07
"17
1",USA,"USA
Paraguay
FT
41",,1671.23*
18,Japan,"Japan
Iceland
FT
10",1.15,1661.58
19,Switzerland,"Qatar
Switzerland
FT
11",,1650.06*
"20
1",IR Iran,"Mali
IR Iran
FT
02",3.54,1619.58
"21
1",Denmark,"Congo DR
Denmark
FT
00",-1.33,1619.47
22,Türkiye,"Australia
Türkiye
FT
20",,1605.73*
23,Ecuador,"Ecuador
Guatemala
FT
30",2.03,1598.52
24,Austria,"Austria
Tunisia
FT
10",3.96,1597.4
25,Korea Republic,"Korea Republic
Czechia
FT
21",,1591.63*
26,Nigeria,"Portugal
Nigeria
FT
21",-1.67,1585.02
27,Australia,"Australia
Türkiye
FT
20",,1579.34*
28,Algeria,"Netherlands
Algeria
FT
01",6.78,1571.03
29,Egypt,"Brazil
Egypt
FT
21",-3.19,1562.37
30,Canada,"Canada
Bosnia and Herzegovina
FT
11",,1559.48*
31,Norway,"Norway
Morocco
FT
11",1.84,1557.44
32,Ukraine,"Poland
Ukraine
FT
02",2.41,1549.29
"33
1",Côte d'Ivoire,"France
Côte d'Ivoire
FT
12",7.89,1540.87
"34
1",Panama,"Bosnia and Herzegovina
Panama
FT
11",-1.44,1539.16
"35
1",Russia,"Russia
Trinidad and Tobago
FT
30",2.37,1529.6
"36
1",Poland,"Poland
Nigeria
FT
22",0.59,1526.18
37,Wales,"Romania
Wales
FT
21",-5.69,1516.95
38,Sweden,"Sweden
Greece
FT
22",-0.33,1509.79
"39
3",Hungary,"Hungary
Kazakhstan
FT
31",2.26,1506.39
"40
1",Czechia,"Korea Republic
Czechia
FT
21",,1505.74*
"41
1",Paraguay,"USA
Paraguay
FT
41",,1505.35*
"42
1",Scotland,"Haiti
Scotland
FT
01",,1503.34*
"43
4",Serbia,"Mexico
Serbia
FT
51",-3.35,1502.13
"44
1",Cameroon,"Cameroon
China PR
FT
20",2.98,1481.24
"45
1",Tunisia,"Belgium
Tunisia
FT
50",-2.69,1476.41
46,Congo DR,"Congo DR
Chile
FT
12",-5.26,1474.43
"47
1",Slovakia,"Slovakia
Montenegro
FT
22",-1.62,1473.66
"48
1",Greece,"Greece
Italy
FT
01",-2.96,1473.19
49,Venezuela,"Venezuela
Iraq
FT
20",4.87,1469.18
50,Uzbekistan,"Netherlands
Uzbekistan
FT
21",-2.47,1458.73
"51
3",Chile,"Congo DR
Chile
FT
12",5.26,1458.2
"52
1",Peru,"Spain
Peru
FT
31",-1.7,1457.69
"53
2",Costa Rica,"England
Costa Rica
FT
30",-0.97,1456.03
"54
2",Romania,"Romania
Wales
FT
21",5.69,1455.89
"55
3",Mali,"Mali
IR Iran
FT
02",-3.54,1455.59
"56
1",Qatar,"Qatar
Switzerland
FT
11",,1450.31*
57,Iraq,"Venezuela
Iraq
FT
20",-4.87,1446.28
"58
1",Republic of Ireland,"Canada
Republic of Ireland
FT
11",1.14,1441.1
"59
1",Slovenia,"Croatia
Slovenia
FT
21",-2.63,1441.09
60,South Africa,"Mexico
South Africa
FT
20",,1428.38*
